,ID_Child,flight number,Vessel name,Consignee,forwarding company,supplier,goods,Date of shipment,Port of departure,place of dispatch,destination,Cabinet number,Shipping container number,Air freight container number,Customs clearance date,Inspection date,Release date,date of service,Truck number,Invoice number,Customs clearance status,Inspection status,Release status,Delivery status,Total amount of income_RMB,Total amount of income_USD,Actual arrival date,Total number of boxes,Allocated,Remaining boxes,Whether to check,reinsurance policy,ships name,Packing list number,Assign customers,Total sales price,Total expenses,Invoicing amount,Container No,headquarters,Distribution type,Distribution status,Bill number,Whether to return the bill,Expected full container sales amount in yuan,Batch distribution customers,Customs declaration form,Number,SUB TOTAL COST,FF Shanghai fee,TOTAL COST,Revenue by KG,Balance Payment,Extra VAT,Bank charges,Costs by KG,Final return,Commercial invoice,Return by KG,Import VAT,Desc: Default: Nullable:True,Total company expenses,USD SUB TOTAL COST,USD Balance Payment,USD Final return,USD Commercial invoice,USD Return by KG,USD Import VAT,USD Extra VAT,USD Bank charges,USD Costs by KG,USD FF Shanghai fee,USD TOTAL COST,USD Revenue by KG,Total weight,Desc: Default: Nullable:True_V2,One time quotation,Second quotation,Extra VAT Real,weight,Type,Currenc,FF fee,Notes,Year,Total sales price_V2,Total income,Customer,Extra VAT_V2,Customer fee,Total sales price1,total amount of expenses1,invoice amount1,Expected full container sales amount of 10000 yuan,Expected full container sales amount of RMB 1,Transaction method,Packing verification date,Desc: Default: Nullable:True_V3,Salesperson,system date,Settlement or not,Total expenses original,Total expenses original_V2,Detailed address,Agency ID,Variety,Package,Stock,Status,Fruit,ETA,Confirmed,Total RMB,Total USD,Total Subcontracting Sales Amount,Total number of boxes_V2,Subcontracting unit price,Total subcontract amount,System date_V2,U8 Cost,Fruit_V2,Estimated value,ARRIVAL_DATE,Agency quotation,Box Count Bill,Desc: Default: Nullable:True_V4,Packing,Sales,disparity,Season,Week,Main Table ID,Serial Number,goods_Child,Cabinet number_Child,Packaging specification name,sale date,Board number,brand,type_Children,Calibre,selling price,Revenue USD,remarks,custom,arrival date,Customer dropdown,Bill Details ID,Sales price in RMB,Revenue RMB,statement date,Sales weight,List-Cost,grade,Market price,List-Return,Pack code,bill,number_Children,CODIGO_PM
1369,-695106407310147503,,MAERSK EINDHOVEN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,SAN FRANCISCO LO GARCES SPA.,CEREZAS,2023-12-13T00:00:00,SAN ANTONIO,CHILE,CHINA,MNBU910872-5,MNBU910872-5,,2024-01-04T00:00:00,,2024-01-04T00:00:00,2024-01-05T00:00:00,?DV0869,879,"4,75793014838266E+18","-7,26715649698413E+17","4,75793014838266E+18","4,75793014838266E+18",1284869,177221,2024-01-03T00:00:00,8320,8320,0,"1,3056900577659E+18",,"6,83708228601507E+18",ZX2024020800001,"-2,67390082828545E+18",1284869,"40420,07","1244448,93",MNBU9108725,,"6,45391138077103E+18",Arrived,,"-3,848633054002E+18",1000000.0,"-2,67390082828545E+18","7,88110665001922E+18",,"127277,08","77092,14","204369,22","77,215685","1080499,78",6801,500,"12,281804","1073198,78",1209312,"64,495119","108838,08","2,76386039233087E+18",125403,"17555,46","149034,45","148027,42","166801,66","8,9","15012,15","938,07","68,97","1,69","10633,4","28188,86","10,65",16640,"7,25",1209312,,,16640,"6,81673899404265E+18","-7,29268782738707E+18","0,03",,,16703,1284869,taiguohui,6801,"38546,07",1284869,"40420,07","1244448,93",,1000000.0,"-2,17150722380305E+18",,"1,3056900577659E+18",,,,"40420,07",,,????,"LAPINS,SANTINA","P0232087,P0232087",,,CEREZAS,2024-01-03,,"125403,08","17296,97",0,8320.0,0,0,,1209312,,1000000.0,2024-01-03T00:00:00,,8320,Ocean,16640,16640,0,"-7,39559448263477E+18","6,87230214030605E+18",3260640887370567244,92,CEREZAS,MNBU910872-5,PLASTICO 2 KG. 30X25X87,2024-01-11,2840230327.0,GARCES,LAPINS,3JD,25,745,,taiguohui,2024-01-05T00:00:00,"-2,67390082828545E+18",MNBU910872-5ZD202402180168092,180,5400,2024-02-11T00:00:00,2,"24,56","1,97874549917393E+18",,"4510,3986",P0232087,ZD2024021801680,30,2.0 plastic
1370,-642942515300384447,,MAERSK EINDHOVEN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,SAN FRANCISCO LO GARCES SPA.,CEREZAS,2023-12-13T00:00:00,SAN ANTONIO,CHILE,CHINA,MNBU910872-5,MNBU910872-5,,2024-01-04T00:00:00,,2024-01-04T00:00:00,2024-01-05T00:00:00,?DV0869,879,"4,75793014838266E+18","-7,26715649698413E+17","4,75793014838266E+18","4,75793014838266E+18",1284869,177221,2024-01-03T00:00:00,8320,8320,0,"1,3056900577659E+18",,"6,83708228601507E+18",ZX2024020800001,"-2,67390082828545E+18",1284869,"40420,07","1244448,93",MNBU9108725,,"6,45391138077103E+18",Arrived,,"-3,848633054002E+18",1000000.0,"-2,67390082828545E+18","7,88110665001922E+18",,"127277,08","77092,14","204369,22","77,215685","1080499,78",6801,500,"12,281804","1073198,78",1209312,"64,495119","108838,08","2,76386039233087E+18",125403,"17555,46","149034,45","148027,42","166801,66","8,9","15012,15","938,07","68,97","1,69","10633,4","28188,86","10,65",16640,"7,25",1209312,,,16640,"6,81673899404265E+18","-7,29268782738707E+18","0,03",,,16703,1284869,taiguohui,6801,"38546,07",1284869,"40420,07","1244448,93",,1000000.0,"-2,17150722380305E+18",,"1,3056900577659E+18",,,,"40420,07",,,????,"LAPINS,SANTINA","P0232087,P0232087",,,CEREZAS,2024-01-03,,"125403,08","17296,97",0,8320.0,0,0,,1209312,,1000000.0,2024-01-03T00:00:00,,8320,Ocean,16640,16640,0,"-7,39559448263477E+18","6,87230214030605E+18",3260640887370567244,16,CEREZAS,MNBU910872-5,PLASTICO 2 KG. 30X25X87,2024-01-06,2840230562.0,GARCES,SANTINA,2JD,23,9754,,taiguohui,2024-01-05T00:00:00,"-2,67390082828545E+18",MNBU910872-5ZD202402180168023,170,70720,2024-02-11T00:00:00,2,"24,56","6,02359559002517E+18",,"59069,51648",P0232087,ZD2024021801680,416,2.0 plastic
1371,-569103291179185748,,MAERSK EINDHOVEN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,SAN FRANCISCO LO GARCES SPA.,CEREZAS,2023-12-13T00:00:00,SAN ANTONIO,CHILE,CHINA,MNBU910872-5,MNBU910872-5,,2024-01-04T00:00:00,,2024-01-04T00:00:00,2024-01-05T00:00:00,?DV0869,879,"4,75793014838266E+18","-7,26715649698413E+17","4,75793014838266E+18","4,75793014838266E+18",1284869,177221,2024-01-03T00:00:00,8320,8320,0,"1,3056900577659E+18",,"6,83708228601507E+18",ZX2024020800001,"-2,67390082828545E+18",1284869,"40420,07","1244448,93",MNBU9108725,,"6,45391138077103E+18",Arrived,,"-3,848633054002E+18",1000000.0,"-2,67390082828545E+18","7,88110665001922E+18",,"127277,08","77092,14","204369,22","77,215685","1080499,78",6801,500,"12,281804","1073198,78",1209312,"64,495119","108838,08","2,76386039233087E+18",125403,"17555,46","149034,45","148027,42","166801,66","8,9","15012,15","938,07","68,97","1,69","10633,4","28188,86","10,65",16640,"7,25",1209312,,,16640,"6,81673899404265E+18","-7,29268782738707E+18","0,03",,,16703,1284869,taiguohui,6801,"38546,07",1284869,"40420,07","1244448,93",,1000000.0,"-2,17150722380305E+18",,"1,3056900577659E+18",,,,"40420,07",,,????,"LAPINS,SANTINA","P0232087,P0232087",,,CEREZAS,2024-01-03,,"125403,08","17296,97",0,8320.0,0,0,,1209312,,1000000.0,2024-01-03T00:00:00,,8320,Ocean,16640,16640,0,"-7,39559448263477E+18","6,87230214030605E+18",3260640887370567244,10,CEREZAS,MNBU910872-5,PLASTICO 2 KG. 30X25X87,2024-01-06,2840230671.0,GARCES,SANTINA,2JD,24,169,,taiguohui,2024-01-05T00:00:00,"-2,67390082828545E+18",MNBU910872-5ZD202402180168018,175,1225,2024-02-11T00:00:00,2,"24,56","6,02359559002517E+18",,"1023,192275",P0232087,ZD2024021801680,7,2.0 plastic
1372,-220600258275556219,,MAERSK EINDHOVEN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,SAN FRANCISCO LO GARCES SPA.,CEREZAS,2023-12-13T00:00:00,SAN ANTONIO,CHILE,CHINA,MNBU910872-5,MNBU910872-5,,2024-01-04T00:00:00,,2024-01-04T00:00:00,2024-01-05T00:00:00,?DV0869,879,"4,75793014838266E+18","-7,26715649698413E+17","4,75793014838266E+18","4,75793014838266E+18",1284869,177221,2024-01-03T00:00:00,8320,8320,0,"1,3056900577659E+18",,"6,83708228601507E+18",ZX2024020800001,"-2,67390082828545E+18",1284869,"40420,07","1244448,93",MNBU9108725,,"6,45391138077103E+18",Arrived,,"-3,848633054002E+18",1000000.0,"-2,67390082828545E+18","7,88110665001922E+18",,"127277,08","77092,14","204369,22","77,215685","1080499,78",6801,500,"12,281804","1073198,78",1209312,"64,495119","108838,08","2,76386039233087E+18",125403,"17555,46","149034,45","148027,42","166801,66","8,9","15012,15","938,07","68,97","1,69","10633,4","28188,86","10,65",16640,"7,25",1209312,,,16640,"6,81673899404265E+18","-7,29268782738707E+18","0,03",,,16703,1284869,taiguohui,6801,"38546,07",1284869,"40420,07","1244448,93",,1000000.0,"-2,17150722380305E+18",,"1,3056900577659E+18",,,,"40420,07",,,????,"LAPINS,SANTINA","P0232087,P0232087",,,CEREZAS,2024-01-03,,"125403,08","17296,97",0,8320.0,0,0,,1209312,,1000000.0,2024-01-03T00:00:00,,8320,Ocean,16640,16640,0,"-7,39559448263477E+18","6,87230214030605E+18",3260640887370567244,57,CEREZAS,MNBU910872-5,PLASTICO 2 KG. 30X25X87,2024-01-07,2840230302.0,GARCES,SANTINA,JD,18,7459,,taiguohui,2024-01-05T00:00:00,"-2,67390082828545E+18",MNBU910872-5ZD202402180168060,130,54080,2024-02-11T00:00:00,2,"24,56","5,03551895287446E+18",,"45170,80672",P0232087,ZD2024021801680,416,2.0 plastic
1373,-62344417928198189,,MAERSK EINDHOVEN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,SAN FRANCISCO LO GARCES SPA.,CEREZAS,2023-12-13T00:00:00,SAN ANTONIO,CHILE,CHINA,MNBU910872-5,MNBU910872-5,,2024-01-04T00:00:00,,2024-01-04T00:00:00,2024-01-05T00:00:00,?DV0869,879,"4,75793014838266E+18","-7,26715649698413E+17","4,75793014838266E+18","4,75793014838266E+18",1284869,177221,2024-01-03T00:00:00,8320,8320,0,"1,3056900577659E+18",,"6,83708228601507E+18",ZX2024020800001,"-2,67390082828545E+18",1284869,"40420,07","1244448,93",MNBU9108725,,"6,45391138077103E+18",Arrived,,"-3,848633054002E+18",1000000.0,"-2,67390082828545E+18","7,88110665001922E+18",,"127277,08","77092,14","204369,22","77,215685","1080499,78",6801,500,"12,281804","1073198,78",1209312,"64,495119","108838,08","2,76386039233087E+18",125403,"17555,46","149034,45","148027,42","166801,66","8,9","15012,15","938,07","68,97","1,69","10633,4","28188,86","10,65",16640,"7,25",1209312,,,16640,"6,81673899404265E+18","-7,29268782738707E+18","0,03",,,16703,1284869,taiguohui,6801,"38546,07",1284869,"40420,07","1244448,93",,1000000.0,"-2,17150722380305E+18",,"1,3056900577659E+18",,,,"40420,07",,,????,"LAPINS,SANTINA","P0232087,P0232087",,,CEREZAS,2024-01-03,,"125403,08","17296,97",0,8320.0,0,0,,1209312,,1000000.0,2024-01-03T00:00:00,,8320,Ocean,16640,16640,0,"-7,39559448263477E+18","6,87230214030605E+18",3260640887370567244,48,CEREZAS,MNBU910872-5,PLASTICO 2 KG. 30X25X87,2024-01-07,2840230671.0,GARCES,SANTINA,2JD,23,3459,,taiguohui,2024-01-05T00:00:00,"-2,67390082828545E+18",MNBU910872-5ZD202402180168052,165,25080,2024-02-11T00:00:00,2,"24,56","6,02359559002517E+18",,"20948,29572",P0232087,ZD2024021801680,152,2.0 plastic
1374,-33158237858149898,,MAERSK EINDHOVEN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,SAN FRANCISCO LO GARCES SPA.,CEREZAS,2023-12-13T00:00:00,SAN ANTONIO,CHILE,CHINA,MNBU910872-5,MNBU910872-5,,2024-01-04T00:00:00,,2024-01-04T00:00:00,2024-01-05T00:00:00,?DV0869,879,"4,75793014838266E+18","-7,26715649698413E+17","4,75793014838266E+18","4,75793014838266E+18",1284869,177221,2024-01-03T00:00:00,8320,8320,0,"1,3056900577659E+18",,"6,83708228601507E+18",ZX2024020800001,"-2,67390082828545E+18",1284869,"40420,07","1244448,93",MNBU9108725,,"6,45391138077103E+18",Arrived,,"-3,848633054002E+18",1000000.0,"-2,67390082828545E+18","7,88110665001922E+18",,"127277,08","77092,14","204369,22","77,215685","1080499,78",6801,500,"12,281804","1073198,78",1209312,"64,495119","108838,08","2,76386039233087E+18",125403,"17555,46","149034,45","148027,42","166801,66","8,9","15012,15","938,07","68,97","1,69","10633,4","28188,86","10,65",16640,"7,25",1209312,,,16640,"6,81673899404265E+18","-7,29268782738707E+18","0,03",,,16703,1284869,taiguohui,6801,"38546,07",1284869,"40420,07","1244448,93",,1000000.0,"-2,17150722380305E+18",,"1,3056900577659E+18",,,,"40420,07",,,????,"LAPINS,SANTINA","P0232087,P0232087",,,CEREZAS,2024-01-03,,"125403,08","17296,97",0,8320.0,0,0,,1209312,,1000000.0,2024-01-03T00:00:00,,8320,Ocean,16640,16640,0,"-7,39559448263477E+18","6,87230214030605E+18",3260640887370567244,24,CEREZAS,MNBU910872-5,PLASTICO 2 KG. 30X25X87,2024-01-07,2840230202.0,GARCES,SANTINA,3JD,27,134,,taiguohui,2024-01-05T00:00:00,"-2,67390082828545E+18",MNBU910872-5ZD202402180168030,195,975,2024-02-11T00:00:00,2,"24,56","1,97874549917393E+18",,"814,377525",P0232087,ZD2024021801680,5,2.0 plastic
1375,213779708721381636,,MAERSK EINDHOVEN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,SAN FRANCISCO LO GARCES SPA.,CEREZAS,2023-12-13T00:00:00,SAN ANTONIO,CHILE,CHINA,MNBU910872-5,MNBU910872-5,,2024-01-04T00:00:00,,2024-01-04T00:00:00,2024-01-05T00:00:00,?DV0869,879,"4,75793014838266E+18","-7,26715649698413E+17","4,75793014838266E+18","4,75793014838266E+18",1284869,177221,2024-01-03T00:00:00,8320,8320,0,"1,3056900577659E+18",,"6,83708228601507E+18",ZX2024020800001,"-2,67390082828545E+18",1284869,"40420,07","1244448,93",MNBU9108725,,"6,45391138077103E+18",Arrived,,"-3,848633054002E+18",1000000.0,"-2,67390082828545E+18","7,88110665001922E+18",,"127277,08","77092,14","204369,22","77,215685","1080499,78",6801,500,"12,281804","1073198,78",1209312,"64,495119","108838,08","2,76386039233087E+18",125403,"17555,46","149034,45","148027,42","166801,66","8,9","15012,15","938,07","68,97","1,69","10633,4","28188,86","10,65",16640,"7,25",1209312,,,16640,"6,81673899404265E+18","-7,29268782738707E+18","0,03",,,16703,1284869,taiguohui,6801,"38546,07",1284869,"40420,07","1244448,93",,1000000.0,"-2,17150722380305E+18",,"1,3056900577659E+18",,,,"40420,07",,,????,"LAPINS,SANTINA","P0232087,P0232087",,,CEREZAS,2024-01-03,,"125403,08","17296,97",0,8320.0,0,0,,1209312,,1000000.0,2024-01-03T00:00:00,,8320,Ocean,16640,16640,0,"-7,39559448263477E+18","6,87230214030605E+18",3260640887370567244,87,CEREZAS,MNBU910872-5,PLASTICO 2 KG. 30X25X87,2024-01-11,2840230563.0,GARCES,SANTINA,JD,17,517,,taiguohui,2024-01-05T00:00:00,"-2,67390082828545E+18",MNBU910872-5ZD202402180168088,125,3750,2024-02-11T00:00:00,2,"24,56","5,03551895287446E+18",,"3132,22125",P0232087,ZD2024021801680,30,2.0 plastic
1376,260912386322681319,,MAERSK EINDHOVEN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,SAN FRANCISCO LO GARCES SPA.,CEREZAS,2023-12-13T00:00:00,SAN ANTONIO,CHILE,CHINA,MNBU910872-5,MNBU910872-5,,2024-01-04T00:00:00,,2024-01-04T00:00:00,2024-01-05T00:00:00,?DV0869,879,"4,75793014838266E+18","-7,26715649698413E+17","4,75793014838266E+18","4,75793014838266E+18",1284869,177221,2024-01-03T00:00:00,8320,8320,0,"1,3056900577659E+18",,"6,83708228601507E+18",ZX2024020800001,"-2,67390082828545E+18",1284869,"40420,07","1244448,93",MNBU9108725,,"6,45391138077103E+18",Arrived,,"-3,848633054002E+18",1000000.0,"-2,67390082828545E+18","7,88110665001922E+18",,"127277,08","77092,14","204369,22","77,215685","1080499,78",6801,500,"12,281804","1073198,78",1209312,"64,495119","108838,08","2,76386039233087E+18",125403,"17555,46","149034,45","148027,42","166801,66","8,9","15012,15","938,07","68,97","1,69","10633,4","28188,86","10,65",16640,"7,25",1209312,,,16640,"6,81673899404265E+18","-7,29268782738707E+18","0,03",,,16703,1284869,taiguohui,6801,"38546,07",1284869,"40420,07","1244448,93",,1000000.0,"-2,17150722380305E+18",,"1,3056900577659E+18",,,,"40420,07",,,????,"LAPINS,SANTINA","P0232087,P0232087",,,CEREZAS,2024-01-03,,"125403,08","17296,97",0,8320.0,0,0,,1209312,,1000000.0,2024-01-03T00:00:00,,8320,Ocean,16640,16640,0,"-7,39559448263477E+18","6,87230214030605E+18",3260640887370567244,63,CEREZAS,MNBU910872-5,PLASTICO 2 KG. 30X25X87,2024-01-08,2840230202.0,GARCES,SANTINA,3JD,25,745,,taiguohui,2024-01-05T00:00:00,"-2,67390082828545E+18",MNBU910872-5ZD202402180168066,180,5400,2024-02-11T00:00:00,2,"24,56","1,97874549917393E+18",,"4510,3986",P0232087,ZD2024021801680,30,2.0 plastic
1377,389936644476977154,,MAERSK EINDHOVEN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,SAN FRANCISCO LO GARCES SPA.,CEREZAS,2023-12-13T00:00:00,SAN ANTONIO,CHILE,CHINA,MNBU910872-5,MNBU910872-5,,2024-01-04T00:00:00,,2024-01-04T00:00:00,2024-01-05T00:00:00,?DV0869,879,"4,75793014838266E+18","-7,26715649698413E+17","4,75793014838266E+18","4,75793014838266E+18",1284869,177221,2024-01-03T00:00:00,8320,8320,0,"1,3056900577659E+18",,"6,83708228601507E+18",ZX2024020800001,"-2,67390082828545E+18",1284869,"40420,07","1244448,93",MNBU9108725,,"6,45391138077103E+18",Arrived,,"-3,848633054002E+18",1000000.0,"-2,67390082828545E+18","7,88110665001922E+18",,"127277,08","77092,14","204369,22","77,215685","1080499,78",6801,500,"12,281804","1073198,78",1209312,"64,495119","108838,08","2,76386039233087E+18",125403,"17555,46","149034,45","148027,42","166801,66","8,9","15012,15","938,07","68,97","1,69","10633,4","28188,86","10,65",16640,"7,25",1209312,,,16640,"6,81673899404265E+18","-7,29268782738707E+18","0,03",,,16703,1284869,taiguohui,6801,"38546,07",1284869,"40420,07","1244448,93",,1000000.0,"-2,17150722380305E+18",,"1,3056900577659E+18",,,,"40420,07",,,????,"LAPINS,SANTINA","P0232087,P0232087",,,CEREZAS,2024-01-03,,"125403,08","17296,97",0,8320.0,0,0,,1209312,,1000000.0,2024-01-03T00:00:00,,8320,Ocean,16640,16640,0,"-7,39559448263477E+18","6,87230214030605E+18",3260640887370567244,3,CEREZAS,MNBU910872-5,PLASTICO 2 KG. 30X25X87,2024-01-06,2840230202.0,GARCES,SANTINA,3JD,28,1076,,taiguohui,2024-01-05T00:00:00,"-2,67390082828545E+18",MNBU910872-5ZD202402180168011,200,7800,2024-02-11T00:00:00,2,"24,56","1,97874549917393E+18",,"6515,0202",P0232087,ZD2024021801680,39,2.0 plastic
1378,775998959022850185,,MAERSK EINDHOVEN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,FOREVER FRESH (SHANGHAI) FRUIT TRADING COMPANY LIMITED -GUAN,SAN FRANCISCO LO GARCES SPA.,CEREZAS,2023-12-13T00:00:00,SAN ANTONIO,CHILE,CHINA,MNBU910872-5,MNBU910872-5,,2024-01-04T00:00:00,,2024-01-04T00:00:00,2024-01-05T00:00:00,?DV0869,879,"4,75793014838266E+18","-7,26715649698413E+17","4,75793014838266E+18","4,75793014838266E+18",1284869,177221,2024-01-03T00:00:00,8320,8320,0,"1,3056900577659E+18",,"6,83708228601507E+18",ZX2024020800001,"-2,67390082828545E+18",1284869,"40420,07","1244448,93",MNBU9108725,,"6,45391138077103E+18",Arrived,,"-3,848633054002E+18",1000000.0,"-2,67390082828545E+18","7,88110665001922E+18",,"127277,08","77092,14","204369,22","77,215685","1080499,78",6801,500,"12,281804","1073198,78",1209312,"64,495119","108838,08","2,76386039233087E+18",125403,"17555,46","149034,45","148027,42","166801,66","8,9","15012,15","938,07","68,97","1,69","10633,4","28188,86","10,65",16640,"7,25",1209312,,,16640,"6,81673899404265E+18","-7,29268782738707E+18","0,03",,,16703,1284869,taiguohui,6801,"38546,07",1284869,"40420,07","1244448,93",,1000000.0,"-2,17150722380305E+18",,"1,3056900577659E+18",,,,"40420,07",,,????,"LAPINS,SANTINA","P0232087,P0232087",,,CEREZAS,2024-01-03,,"125403,08","17296,97",0,8320.0,0,0,,1209312,,1000000.0,2024-01-03T00:00:00,,8320,Ocean,16640,16640,0,"-7,39559448263477E+18","6,87230214030605E+18",3260640887370567244,52,CEREZAS,MNBU910872-5,PLASTICO 2 KG. 30X25X87,2024-01-07,2840230671.0,GARCES,SANTINA,2JD,26,26,,taiguohui,2024-01-05T00:00:00,"-2,67390082828545E+18",MNBU910872-5ZD202402180168056,190,190,2024-02-11T00:00:00,2,"24,56","6,02359559002517E+18",,"158,69921",P0232087,ZD2024021801680,1,2.0 plastic
